Age,Occupation,Residence_Area,Movement_Frequency,Active_Times,Primary_Transport_Mode,Vehicle_Type,Delay_Causes,Accident_Frequency,Accident_Causes,Safety_Rating,Traffic_Regulations_Enforcement,Traffic_Changes,Traffic_Volume(target)
36 - 45,Student,East,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Early morning,Car,Car,Accidents,Often,"Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Employed (full-time),North,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
18 - 25,Employed (full-time),East,Several times a week,Morning rush hour;Evening rush hour,Bicycle,Motorcycle,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,No,No change,2
26 - 35,Student,East,Daily,Evening rush hour,Car,Motorcycle,Road construction,Never,Poor road conditions,Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),South,Daily,Evening rush hour;Late at  night,Bicycle,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
36 - 45,Retired,East,Daily,Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Very safe,Yes,No change,2
36 - 45,Employed (full-time),West,Daily,Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,No change,2
46 - 55,Employed (full-time),North,Several times a week,Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Maybe,Improvement,2
26 - 35,Student,South,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,SUV,Road construction,Often,"Speeding;Distracted driving (e.g., phone use);Inexperienced drivers",Somewhat safe,No,No change,2
46 - 55,Retired,North,Daily,Early morning;Morning rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,Speeding,Somewhat safe,Yes,Improvement,2
26 - 35,Student,South,Daily,Early morning;Mid day;Evening rush hour,Bicycle,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,2
26 - 35,Employed (part-time),East,Daily,Morning rush hour;Mid day;Late at  night,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Employed (full-time),East,Daily,Early morning;Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,No change,2
18 - 25,Student,North,Occasionally,Morning rush hour;Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,No,Improvement,2
18 - 25,Self-employed,West,Several times a week,Evening rush hour,Car,Car,Road construction,Rarely,Speeding,Somewhat safe,Yes,No change,2
18 - 25,Student,North,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,2
18 - 25,Student,North,Daily,Early morning;Evening rush hour,Car,Car,Road construction,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,Improvement,2
36 - 45,Employed (full-time),East,Daily,Early morning;Evening rush hour,Car,No car ,Road construction;Heavy traffic due to peak hours,Sometimes,Poor road conditions,Very unsafe,Yes,No change,2
18 - 25,Student,North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
18 - 25,Student,East,Several times a week,Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Somewhat safe,Yes,No change,2
18 - 25,Self-employed,East,Daily,Early morning;Mid day,Public transit (bus),Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
36 - 45,Student,East,Several times a week,Evening rush hour,Walking,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
36 - 45,Employed (full-time),East,Several times a week,Evening rush hour,Public transit (bus),Motorcycle,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions;Crowd it self causes accidents",Somewhat safe,Yes,No change,2
26 - 35,Self-employed,North,Several times a week,Early morning;Mid day;Evening rush hour,Car,Car,Accidents,Often,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Yes,No change,2
18 - 25,Student,North,Daily,Mid day;Evening rush hour,Bicycle,Car;SUV,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
18 - 25,Retired,South,Daily,Mid day;Late at  night,Car,Car,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,East,Several times a week,Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat safe,Yes,Improvement,2
18 - 25,Student,East,Occasionally,Early morning;Morning rush hour;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
18 - 25,Employed (full-time),West,Occasionally,Mid day,Car,Car,Accidents,Rarely,Speeding;Poor road conditions,Neutral,Yes,No change,2
18 - 25,Employed (full-time),North,Occasionally,Early morning,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Very unsafe,No,No change,2
18 - 25,Employed (part-time),North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
36 - 45,Student,North,Occasionally,Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
26 - 35,Employed (full-time),East,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
26 - 35,Student,South,Occasionally,Early morning,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,Improvement,2
36 - 45,Student,South,Daily,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
36 - 45,Employed (full-time),West,Several times a week,Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat unsafe,Maybe,No change,2
18 - 25,Student,East,Several times a week,Mid day,Taxi / Uber,Car,Heavy traffic due to peak hours,Sometimes,Poor road conditions,Neutral,No,No change,2
18 - 25,Student,North,Several times a week,Morning rush hour;Mid day;Evening rush hour,Car,SUV,Road construction,Sometimes,"Distracted driving (e.g., phone use)",Neutral,No,No change,2
46 - 55,Student,East,Occasionally,Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
18 - 25,Student,East,Daily,Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,2
46 - 55,Student,South,Occasionally,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
36 - 45,Student,North,Occasionally,Early morning;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;Clusturing of work places,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,2
46 - 55,Student,North,Daily,Mid day;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,Improvement,2
26 - 35,Student,East,Daily,Morning rush hour;Evening rush hour,Motorcycle,Car,Accidents;Road construction;Heavy traffic due to peak hours;Incorrect Road design ,Often,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
46 - 55,Student,East,Several times a week,Early morning;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;محد ملتزم بالنظام ويمشي بسرعه لأنه مب لحاله بالطريق,Neutral,Maybe,No change,2
18 - 25,Student,North,Occasionally,Early morning,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Often,Speeding;Weather conditions,Somewhat safe,Yes,No change,2
18 - 25,Student,East,Occasionally,Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
18 - 25,Student,West,Daily,Mid day;Evening rush hour,Car,SUV,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),West,Several times a week,Morning rush hour;Evening rush hour,Public transit (bus),Motorcycle,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
46 - 55,Student,West,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
46 - 55,Student,West,Daily,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,Speeding,Somewhat safe,Yes,No change,2
36 - 45,Student,West,Daily,Morning rush hour;Evening rush hour,Walking,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
26 - 35,Employed (full-time),East,Daily,Morning rush hour;Evening rush hour,Car,SUV;Truck,Accidents;Road construction;Heavy traffic due to peak hours;Incorrect Road design ,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,2
26 - 35,Student,West,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Maybe,No change,2
18 - 25,Student,North,Occasionally,Morning rush hour;Mid day,Car,No car ,Road construction;Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Neutral,Maybe,No change,2
18 - 25,Student,East,Daily,Evening rush hour,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,2
18 - 25,Student,North,Several times a week,Evening rush hour,Bicycle,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Employed (full-time),East,Several times a week,Mid day;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Somewhat safe,Yes,No change,2
18 - 25,Student,East,Occasionally,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours;,Sometimes,Speeding,Very safe,Yes,No change,2
36 - 45,Student,East,Occasionally,Early morning;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Student,South,Daily,Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Retired,East,Daily,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,Speeding;Weather conditions,Very safe,No,No change,2
46 - 55,Student,South,Several times a week,Mid day,Car,SUV,Road construction,Sometimes,Weather conditions,Somewhat safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Early morning;Evening rush hour,Car,Car;SUV;Truck,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Employed (full-time),West,Several times a week,Early morning,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Somewhat unsafe,Yes,Improvement,2
46 - 55,Employed (full-time),North,Several times a week,Evening rush hour,Car,Car,Accidents,Never,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Maybe,No change,2
26 - 35,Student,South,Several times a week,Early morning,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Neutral,Maybe,Improvement,2
26 - 35,Employed (full-time),West,Several times a week,Evening rush hour;Late at  night,Walking,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Early morning,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,No,No change,2
46 - 55,Employed (full-time),East,Daily,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,No change,2
18 - 25,Employed (full-time),West,Daily,Mid day;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,No,No change,2
46 - 55,Student,West,Several times a week,Early morning;Mid day,Car,No car ,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
46 - 55,Student,East,Occasionally,Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
26 - 35,Student,North,Daily,Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Employed (full-time),North,Daily,Early morning,Car,SUV,Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Yes,Improvement,2
36 - 45,Employed (part-time),West,Occasionally,Mid day,Car,SUV,Accidents;Road construction,Sometimes,Speeding;Weather conditions,Neutral,Yes,No change,2
18 - 25,Student,East,Several times a week,Evening rush hour;Late at  night,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,Improvement,2
18 - 25,Employed (full-time),South,Several times a week,Early morning;Mid day,Car,Car,Accidents,Sometimes,"Distracted driving (e.g., phone use)",Neutral,No,Improvement,2
26 - 35,Employed (full-time),South,Daily,Early morning;Morning rush hour;Evening rush hour,Car,SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Student,West,Several times a week,Mid day;Evening rush hour;Late at  night,Car,Truck,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Maybe,No change,2
18 - 25,Student,East,Several times a week,Evening rush hour;Late at  night,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
26 - 35,Employed (full-time),West,Occasionally,Early morning;Evening rush hour,Public transit (bus),SUV,Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Maybe,No change,2
18 - 25,Employed (full-time),North,Daily,Early morning;Evening rush hour,Car,SUV,Accidents;Road construction,Rarely,Speeding,Somewhat safe,Yes,Improvement,2
18 - 25,Student,South,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction,Rarely,Poor road conditions,Very safe,No,Improvement,2
18 - 25,Employed (full-time),South,Occasionally,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
36 - 45,Student,West,Daily,Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
18 - 25,Employed (full-time),North,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Maybe,Improvement,2
18 - 25,Employed (full-time),East,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
46 - 55,Student,South,Daily,Early morning,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
36 - 45,Student,North,Several times a week,Mid day,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,Improvement,2
18 - 25,Student,North,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Very safe,Maybe,Improvement,2
18 - 25,Student,West,Several times a week,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Somewhat unsafe,Yes,No change,2
18 - 25,Student,North,Several times a week,Morning rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Often,Speeding;محد ملتزم بالنظام ويمشي بسرعه لأنه مب لحاله بالطريق,Somewhat safe,No,No change,2
26 - 35,Student,West,Occasionally,Mid day,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,No,No change,2
26 - 35,Employed (full-time),North,Daily,Evening rush hour;Late at  night,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Rarely,Speeding,Somewhat safe,Maybe,No change,2
26 - 35,Employed (full-time),North,Daily,Mid day,Car,SUV,Road construction;Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,North,Occasionally,Early morning;Morning rush hour;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Yes,Improvement,2
18 - 25,unemployed,East,Occasionally,Morning rush hour,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours;Closed entries to the main rounds case people to fight over how will get in first through the one entry opened  ,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat unsafe,Yes,Improvement,2
26 - 35,Student,North,Daily,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Weather conditions",Very safe,Yes,No change,2
18 - 25,Student,North,Several times a week,Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat unsafe,Yes,No change,2
36 - 45,Student,West,Several times a week,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Student,East,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car;SUV,Accidents,Often,Poor road conditions,Somewhat unsafe,Yes,No change,2
46 - 55,Retired,South,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Non adherence to traffic rules,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Maybe,Improvement,2
18 - 25,Student,West,Several times a week,Evening rush hour;Late at  night,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,Improvement,2
26 - 35,Employed (full-time),West,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),East,Occasionally,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
18 - 25,Employed (full-time),East,Several times a week,Early morning;Evening rush hour,Walking,Motorcycle,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,2
18 - 25,Student,North,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,No change,2
36 - 45,Employed (full-time),South,Daily,Early morning,Car,Car,Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Very safe,Yes,No change,2
36 - 45,Student,North,Daily,Early morning;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Often,Speeding,Somewhat safe,No,Improvement,2
46 - 55,Student,East,Daily,Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,2
26 - 35,Student,West,Daily,Early morning;Mid day,Motorcycle,SUV,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;neglected drivers, no many entries to the main roads so people fight through one entry ",Very safe,Yes,Improvement,2
18 - 25,Student,East,Several times a week,Mid day;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
18 - 25,Employed (full-time),North,Daily,Morning rush hour;Mid day,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Employed (full-time),North,Several times a week,Early morning,Car,Car,Road construction;Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,2
18 - 25,Student,East,Daily,Morning rush hour;Evening rush hour,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,No change,2
18 - 25,Employed (full-time),West,Daily,Early morning,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,Speeding,Neutral,No,No change,2
18 - 25,Student,East,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),West,Several times a week,Morning rush hour;Evening rush hour,Walking,Car,Heavy traffic due to peak hours,Often,Speeding,Somewhat safe,Yes,Improvement,2
18 - 25,Student,West,Daily,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,2
26 - 35,Student,West,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;neglected drivers, no many entries to the main roads so people fight through one entry ",Very safe,Yes,Improvement,2
